date;title
17 Jun 2025; World Day to Combat Desertification and Drought (A/RES/49/115)
18 Jun 2025; Sustainable Gastronomy Day (A/RES/71/246)
18 Jun 2025; International Day for Countering Hate Speech (A/RES/75/309)
19 Jun 2025; International Day for the Elimination of Sexual Violence in Conflict (A/RES/69/293)
20 Jun 2025; World Refugee Day (A/RES/55/76)
21 Jun 2025; International Day of Yoga (A/RES/69/131)
21 Jun 2025; International Day of the Celebration of the Solstice (A/RES/73/300)
23 Jun 2025; United Nations Public Service Day (A/RES/57/277)
23 Jun 2025; International Widows Day (A/RES/65/189)
24 Jun 2025; International Day of Women in Diplomacy (A/RES/76/269)
25 Jun 2025; Day of the Seafarer [IMO] (STCW/CONF.2/DC/4)
26 Jun 2025; International Day against Drug Abuse and Illicit Trafficking (A/RES/42/112)
26 Jun 2025; United Nations International Day in Support of Victims of Torture (A/RES/52/149)
27 Jun 2025; Micro-, Small and Medium-sized Enterprises Day (A/RES/71/279)
29 Jun 2025; International Day of the Tropics (A/RES/71/279)
30 Jun 2025; International Asteroid Day (A/RES/71/90)
30 Jun 2025; International Day of Parliamentarism (A/RES/72/278)
06 Jul 2025; International Day of Cooperatives (A/RES/47/90)
06 Jul 2025; World Rural Development Day (A/78/L.84/Rev.2)
07 Jul 2025; World Kiswahili Language Day (A/RES/78/312)
11 Jul 2025; World Population Day (A/RES/45/216)
11 Jul 2025; International Day of Reflection and Commemoration of the 1995 Genocide in Srebrenica (A/RES/78/282)
12 Jul 2025; International Day of Combating Sand and Dust Storms (A/RES/77/294)
15 Jul 2025; World Youth Skills Day (A/RES/69/145)
18 Jul 2025; Nelson Mandela International Day (A/RES/64/13)
20 Jul 2025; World Chess Day (A/RES/74/22)
20 Jul 2025; International Moon Day (A/RES/76/76)
25 Jul 2025; International Day of Women and Girls of African Descent (A/RES/78/323)
25 Jul 2025; World Drowning Prevention Day (A/RES/75/273)
28 Jul 2025; World Hepatitis Day [WHO]
30 Jul 2025; International Day of Friendship (A/RES/65/275)
30 Jul 2025; World Day against Trafficking in Persons (A/RES/68/192)
01 Aug 2025; World Breastfeeding Week, 1-7 August [WHO]
09 Aug 2025; International Day of the Worlds Indigenous Peoples (A/RES/49/214)
11 Aug 2025; World Steelpan Day (A/RES/77/316)
12 Aug 2025; International Youth Day (A/RES/54/120)
19 Aug 2025; World Humanitarian Day (A/RES/63/139)
21 Aug 2025; International Day of Remembrance and Tribute to the Victims of Terrorism (A/RES/72/165)
22 Aug 2025; International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief (A/RES/73/296)
23 Aug 2025; International Day for the Remembrance of the Slave Trade and Its Abolition [UNESCO] (29 C/Resolution 40)
27 Aug 2025; World Lake Day (A/RES/79/142)
29 Aug 2025; International Day against Nuclear Tests (A/RES/64/35)
30 Aug 2025; International Day of the Victims of Enforced Disappearances (A/RES/65/209)
31 Aug 2025; International Day for People of African Descent (A/RES/75/170)
05 Sep 2025; International Day of Charity (A/RES/67/105)
07 Sep 2025; World Duchenne Awareness Day (A/RES/78/12)
07 Sep 2025; International Day of Clean Air for Blue Skies (A/RES/74/212)
07 Sep 2025; International Day of Police Cooperation (A/RES/77/241)
08 Sep 2025; International Literacy Day [UNESCO] (UNESCO 14 C/Resolution 1.441)
09 Sep 2025; International Day to Protect Education from Attack (A/RES/74/275)
12 Sep 2025; United Nations Day for South-South Cooperation (A/RES/58/220)
15 Sep 2025; International Day of Democracy (A/RES/62/7)
